k,group,n_patients,method,mfe,r2,n_points
6,onset after last level,51,popPK with covariates,1.1938954394418917,0.8438668766861224,1331
6,onset after last level,51,"popPK, time-varying CL",1.1866915289753486,0.8335841572813313,1331
6,onset after last level,51,true model (ceiling),1.1165260386159022,0.9436738476720509,1331
8,ADA negative,68,latent ODE,1.1519940813185687,0.9416472731218389,1750
8,ADA negative,68,"popPK, no covariates",1.1245475636580742,0.943930239427173,1750
8,ADA negative,68,popPK with covariates,1.1105072633783486,0.9496537292147423,1750
8,ADA negative,68,"popPK, time-varying CL",1.1138671283712982,0.9427848072904857,1750
8,ADA negative,68,true model (ceiling),1.114653672487526,0.9484771581283663,1750
8,onset after last level,50,latent ODE,1.23707752340802,0.867044925193966,1207
8,onset after last level,50,"popPK, no covariates",1.2127890833448332,0.8278805082379986,1207
8,onset after last level,50,popPK with covariates,1.2138870108131818,0.8311668031572591,1207
8,onset after last level,50,"popPK, time-varying CL",1.2068780920484894,0.8150598245235743,1207
8,onset after last level,50,true model (ceiling),1.1312456337300205,0.9381100065033198,1207
12,ADA negative,68,latent ODE,1.1675904420315952,0.9440164903846755,1478
12,ADA negative,68,"popPK, no covariates",1.1008928906767566,0.9600154333351202,1478
12,ADA negative,68,popPK with covariates,1.0970577509578847,0.9624453419921292,1478
12,ADA negative,68,"popPK, time-varying CL",1.0875380836550248,0.9578999347639948,1478
12,ADA negative,68,true model (ceiling),1.092082449394799,0.9642235893738696,1478
12,onset before last level,11,latent ODE,1.2702929365264146,0.8653533812001468,213
12,onset before last level,11,"popPK, no covariates",1.3159176266679935,0.8023881574031481,213
12,onset before last level,11,popPK with covariates,1.319713377623203,0.7963830790011591,213
12,onset before last level,11,"popPK, time-varying CL",1.2511078806299054,0.8263840592190408,213
12,onset before last level,11,true model (ceiling),1.120303986830623,0.9620934466513842,213
12,onset after last level,41,latent ODE,1.2312866960236992,0.8970355335012913,830
12,onset after last level,41,"popPK, no covariates",1.202332394331636,0.8333803727971714,830
12,onset after last level,41,popPK with covariates,1.2070303631863915,0.8344547122894258,830
12,onset after last level,41,"popPK, time-varying CL",1.2375373275653168,0.8046238287079296,830
12,onset after last level,41,true model (ceiling),1.1087029288958843,0.9515985151871704,830
16,ADA negative,68,latent ODE,1.1726068840121033,0.9476373366807814,1206
16,ADA negative,68,"popPK, no covariates",1.1119153160512119,0.9573882863888229,1206
16,ADA negative,68,popPK with covariates,1.107833819044812,0.9614739236995061,1206
16,ADA negative,68,"popPK, time-varying CL",1.1093257313042983,0.9559818262835869,1206
16,ADA negative,68,true model (ceiling),1.1033235211728942,0.9639222881236011,1206
16,onset before last level,14,latent ODE,1.2957849802711239,0.8692728364492928,215
16,onset before last level,14,"popPK, no covariates",1.4842921048436097,0.7848529148387582,215
16,onset before last level,14,popPK with covariates,1.5185733154590018,0.77842244447537,215
16,onset before last level,14,"popPK, time-varying CL",1.295487115626972,0.8868782086453458,215
16,onset before last level,14,true model (ceiling),1.1129310214434602,0.9652438325030875,215
16,onset after last level,38,latent ODE,1.2904162329067266,0.8495580010974118,620
16,onset after last level,38,"popPK, no covariates",1.3166366871374267,0.7981458196939996,620
16,onset after last level,38,popPK with covariates,1.309838560070556,0.7995015437664977,620
16,onset after last level,38,"popPK, time-varying CL",1.3194982511332052,0.77467161412781,620
16,onset after last level,38,true model (ceiling),1.147376291528641,0.9420753311920249,620
20,ADA negative,68,latent ODE,1.144048388727288,0.9561154407524259,934
20,ADA negative,68,"popPK, no covariates",1.0960894549792202,0.9726734730221712,934
20,ADA negative,68,popPK with covariates,1.0786281731704455,0.9759060252729908,934
20,ADA negative,68,"popPK, time-varying CL",1.0804924574787687,0.9642159666869453,934
20,ADA negative,68,true model (ceiling),1.0820846909939714,0.9758143096145059,934
20,onset before last level,41,latent ODE,1.2731512086179788,0.8655681320123377,482
20,onset before last level,41,"popPK, no covariates",1.343029505088728,0.803405642322047,482
20,onset before last level,41,popPK with covariates,1.3314609864830584,0.8027841404169674,482
20,onset before last level,41,"popPK, time-varying CL",1.2408073859396798,0.8430221739712875,482
20,onset before last level,41,true model (ceiling),1.1256099063474838,0.9550961472812445,482
20,onset after last level,11,latent ODE,1.2533080083155221,0.8991150887302163,142
20,onset after last level,11,"popPK, no covariates",1.2099162835973183,0.8533854369317645,142
20,onset after last level,11,popPK with covariates,1.219319839265118,0.8534653847406938,142
20,onset after last level,11,"popPK, time-varying CL",1.2137497403665727,0.8472979656217168,142
20,onset after last level,11,true model (ceiling),1.110814174368243,0.9648346423339703,142
24,ADA negative,68,latent ODE,1.162382458662817,0.9500596647940964,662
24,ADA negative,68,"popPK, no covariates",1.1199694186756943,0.9688233162175309,662
24,ADA negative,68,popPK with covariates,1.0956125836582085,0.9717204175727505,662
24,ADA negative,68,"popPK, time-varying CL",1.1049007452715587,0.9535123234757126,662
24,ADA negative,68,true model (ceiling),1.094377403222385,0.971741643229426,662
24,onset before last level,45,latent ODE,1.2466622658280428,0.8859903861820875,350
24,onset before last level,45,"popPK, no covariates",1.3852634375463302,0.795622406071928,350
24,onset before last level,45,popPK with covariates,1.3836322000823906,0.7942219581245251,350
24,onset before last level,45,"popPK, time-varying CL",1.1609417035982423,0.9371011748200572,350
24,onset before last level,45,true model (ceiling),1.145198750611745,0.9523339758516668,350
24,onset after last level,7,latent ODE,1.301825681451252,0.9199230791436611,66
24,onset after last level,7,"popPK, no covariates",1.3634537103839726,0.8681962026313309,66
24,onset after last level,7,popPK with covariates,1.33528004217166,0.8695326172764958,66
24,onset after last level,7,"popPK, time-varying CL",1.4074692379277998,0.8242300132654056,66
24,onset after last level,7,true model (ceiling),1.1457980076877405,0.9538675611617873,66
